Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category
30,55,Wife,Service,"  1,200,000 ","  120,000 ",Monthly,"  720,000 ",Married,Medical,10,10,Changlang,Arunachal Pradesh,792056,ULIP,Retail Agency,,04-02-2021,23-09-2022,18-01-2023,Claim,Death Claim Repudiated,Misrepresentation
31,13,Father,Agriculturist,"  420,000 ","  51,125 ",Yearly,"  504,000 ",Married,Non Medical,15,10,NALGONDA,Telangana,508202,Traditional,Bancassurance,1,25-12-2021,20-01-2023,16-02-2023,Claim,Death Claim Repudiated,Misrepresentation
32,28,Wife,Service,"  420,000 ","  51,125 ",Yearly,"  480,000 ",Married,Non Medical,15,10,ARARIA,Bihar,854318,Traditional,Bancassurance,1,29-08-2022,-,-,Lapse, ,Misrepresentation
33,32,Wife,Agriculturist,"  420,000 ","  51,125 ",Yearly,"  300,000 ",Married,Non Medical,15,10,K.V.Rangareddy,Telangana,500078,Traditional,Bancassurance,2,02-02-2023,21-10-2023,15-12-2023,Claim,Death Claim Repudiated,Misrepresentation
34,42,Wife,Service,"  10,000,000 ","  75,055 ",Monthly,"  2,016,000 ",Married,Medical,43,10,Kurnool,Andhra Pradesh,518501,Traditional,Retail Agency,,11-02-2022,07-04-2022,05-01-2023,Claim,Death Claim Repudiated,Misrepresentation
35,55,Spouse,Service,"  1,100,000 ","  102,250 ",Yearly,"  864,000 ",Married,Medical,26,10,BASTAR,Chhattisgarh,494331,Traditional,Retail Agency,,22-04-2022,21-10-2022,01-03-2023,Claim,Death Claim Repudiated,Misrepresentation
36,44,Husband,Service,"  1,100,000 ","  104,500 ",Yearly,"  600,000 ",Married,Non Medical,26,10,CHANDAULI,Uttar Pradesh,232107,Traditional,Retail Agency,,14-06-2022,-,-,Cancellation,Other Reason,Misrepresentation
37,36,Spouse,Agriculturist,"  1,100,000 ","  106,590 ",Half yearly,"  360,000 ",Married,Non Medical,36,10,UJJAIN,Madhya Pradesh,456665,Traditional,Retail Agency,,04-11-2022,20-12-2022,01-03-2023,Claim,Death Claim Repudiated,Misrepresentation
38,36,Wife,Defense Retired,"  550,000 ","  51,125 ",Yearly,"  420,000 ",Married,Non Medical,36,10,BELGAUM,Karnataka,591344,Traditional,Retail Agency,,23-11-2022,13-05-2023,06-07-2023,Claim,Death Claim Repudiated,Misrepresentation
39,48,Wife,Agriculturist,"  1,100,000 ","  106,590 ",Half yearly,"  660,000 ",Married,Medical,36,10,BHILWARA,Rajasthan,311301,Traditional,Retail Agency,,10-01-2023,24-01-2023,11-08-2023,Claim,Death Claim Repudiated,Misrepresentation
40,33,Husband,Service,"  135,000 ","  10,235 ",Yearly,"  180,000 ",Married,Non Medical,15,10,VIDISHA,Madhya Pradesh,464001,Traditional,Retail Agency,,15-12-2021,31-03-2022,10-02-2023,Claim,Death Claim Repudiated,Misrepresentation
41,35,Wife,Business,"  800,000 ","  25,456 ",Yearly,"  360,000 ",Married,Medical,30,10,SURGUJA,Chhattisgarh,497333,Traditional,Retail Agency,,07-10-2022,22-10-2022,05-05-2023,Claim,Death Claim Repudiated,Misrepresentation
42,29,Father,Agriculturist,"  1,000,000 ","  38,498 ",Yearly,"  240,000 ",Single,Non Medical,25,10,GANDHI NAGAR,Gujarat,382308,Traditional,Retail Agency,,23-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
43,42,Spouse,Service,"  500,000 ","  50,000 ",Yearly,"  540,000 ",Married,Non Medical,15,10,RAMNAD,Tamil Nadu,623525,ULIP,Retail Agency,,09-11-2022,13-02-2023,15-06-2023,Claim,Intimated Death Claim,Misrepresentation
44,44,Wife,Business,"  2,100,000 ","  300,000 ",Yearly,"  1,500,000 ",Married,Non Medical,10,10,Rampur,Uttar Pradesh,244901,ULIP,Bancassurance,1,13-01-2022,15-12-2022,22-02-2023,Claim,Death Claim Repudiated,Misrepresentation
45,57,Wife,Service,"  4,200,000 ","  600,000 ",Yearly,"  1,800,000 ",Married,Non Medical,10,10,Patna,Bihar,800012,ULIP,Bancassurance,1,01-11-2021,-,-,Cancellation,Other Reason,Misrepresentation
46,61,Husband,Profession,0 ,"  400,000 ",Yearly,"  1,700,000 ",Married,Non Medical,10,10,Calcutta,West Bengal,700023,ULIP,Retail Agency,,31-03-2021,-,-,Cancellation,Other Reason,Misrepresentation
47,65,Wife,Retired,0 ,"  200,000 ",Yearly,"  576,000 ",Married,Non Medical,10,10,Meerut,Uttar Pradesh,250001,ULIP,Bancassurance,1,28-07-2021,-,-,Cancellation,Other Reason,Misrepresentation
48,40,Mother,Service,0 ,"  500,000 ",Yearly,"  1,500,000 ",Single,Non Medical,10,10,Chennai,Tamil Nadu,600102,ULIP,Bancassurance,1,20-09-2021,-,-,Cancellation,Other Reason,Misrepresentation
49,60,Son,Defense Retired,0 ,"  100,000 ",Single,"  600,000 ",Married,Non Medical,15,10,New Delhi,Delhi,110046,ULIP,Bancassurance,1,01-11-2021,-,-,Cancellation,Other Reason,Misrepresentation
50,60,Son,Defense Retired,0 ,"  100,000 ",Yearly,"  600,000 ",Married,Non Medical,15,10,New Delhi,Delhi,110046,ULIP,Bancassurance,1,20-10-2021,-,-,Cancellation,Other Reason,Misrepresentation
51,44,Wife,Service,0 ,"  500,000 ",Yearly,"  1,500,000 ",Married,Non Medical,10,10,FATEHABAD,Haryana,125120,ULIP,Bancassurance,1,29-04-2022,-,-,Lapse,Surrendered Reinvested Auto,Misrepresentation
52,57,Son,Retired,0 ,"  500,000 ",Yearly,"  1,500,000 ",Married,Non Medical,10,10,Bangalore,Karnataka,560038,ULIP,Bancassurance,1,23-08-2022,-,-,Cancellation,Other Reason,Misrepresentation
53,70,Spouse,Retired,0 ,"  500,000 ",Yearly,"  1,250,000 ",Married,Non Medical,10,10,BHIWANI,Haryana,127021,ULIP,Bancassurance,1,21-10-2022,-,-,Cancellation,Other Reason,Misrepresentation
54,60,Son,Retired,0 ,"  200,000 ",Yearly,"  2,400,000 ",Married,Non Medical,10,10,JAIPUR,Rajasthan,303103,ULIP,Bancassurance,1,25-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
55,22,Mother,Service,"  400,000 ","  5,000 ",Yearly,"  400,000 ",Single,Non Medical,10,10,NADIA,West Bengal,741249,Traditional,Retail Agency,,31-03-2023,-,-,Technical Lapse,-,Misrepresentation
56,42,Brother,Agriculturist,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Single,Non Medical,12,10,Ludhiana,Punjab,141414,ULIP,Bancassurance,1,04-01-2021,-,-,Cancellation,Other Reason,Misrepresentation
57,30,Mother,Service,"  2,000,000 ","  200,000 ",Yearly,"  624,000 ",Married,Non Medical,12,10,Sonipat,Haryana,131408,ULIP,Bancassurance,1,12-08-2021,-,-,Cancellation,Other Reason,Misrepresentation
58,30,Mother,Service,"  2,000,000 ","  200,000 ",Yearly,"  660,000 ",Married,Non Medical,12,10,Sonipat,Haryana,131402,ULIP,Bancassurance,1,23-08-2021,-,-,Cancellation,Other Reason,Misrepresentation
59,24,Mother,Service,"  2,000,000 ","  200,000 ",Yearly,"  744,000 ",Married,Non Medical,12,10,Sonipat,Haryana,131402,ULIP,Bancassurance,1,06-09-2021,-,-,Cancellation,Other Reason,Misrepresentation
60,35,Husband,Service,"  1,500,000 ","  150,000 ",Yearly,"  780,000 ",Married,Non Medical,12,10,HISAR,Haryana,125001,ULIP,Bancassurance,1,23-11-2021,-,-,Lapse,Surrendered Reinvested Auto,Misrepresentation
61,30,Spouse,Service,"  2,000,000 ","  200,000 ",Yearly,"  1,800,000 ",Married,Non Medical,12,10,THANE,Maharashtra,400614,ULIP,Bancassurance,1,14-12-2021,-,-,Cancellation,Other Reason,Misrepresentation
62,30,Father,Service,"  2,000,000 ","  200,000 ",Yearly,"  600,000 ",Single,Non Medical,12,10,MEERUT,Uttar Pradesh,250003,ULIP,Bancassurance,1,24-06-2022,-,-,Cancellation,Other Reason,Misrepresentation
63,40,Wife,Service,"  2,000,000 ","  200,000 ",Yearly,"  650,000 ",Married,Non Medical,12,10,Kalikapur,West Bengal,700099,ULIP,Bancassurance,1,18-08-2022,-,-,Cancellation,Other Reason,Misrepresentation
64,48,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,NEW DELHI,Delhi,110036,ULIP,Bancassurance,1,26-08-2022,-,-,Cancellation,Other Reason,Misrepresentation
65,47,Daughter,Service,"  2,000,000 ","  200,000 ",Yearly,"  720,000 ",Married,Non Medical,12,10,MOHALI,Punjab,140603,ULIP,Retail Agency,,06-12-2022,-,-,Inforce,-,Misrepresentation
66,54,Daughter,Service,"  500,000 ","  50,000 ",Yearly,"  720,000 ",Married,Non Medical,12,10,MUMBAI,Maharashtra,400081,ULIP,Bancassurance,1,29-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
67,48,Daughter,Service,"  999,000 ","  99,900 ",Yearly,"  1,000,000 ",Married,Non Medical,12,10,MADURAI,Tamil Nadu,625706,ULIP,Bancassurance,1,05-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
68,30,Daughter,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",widowed,Non Medical,12,10,Koderma,Jharkhand,825410,ULIP,Retail Agency,,30-09-2023,-,-,Inforce,-,Misrepresentation
69,30,Son,Service,"  1,000,000 ","  100,000 ",Yearly,"  600,000 ",widowed,Non Medical,12,10,Koderma,Jharkhand,825410,ULIP,Retail Agency,,23-10-2023,-,-,Inforce,-,Misrepresentation
70,30,Son,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",widowed,Non Medical,12,10,Koderma,Jharkhand,825410,ULIP,Retail Agency,,10-11-2023,-,-,Inforce,-,Misrepresentation
71,41,Wife,Agriculturist,"  1,500,000 ","  150,000 ",Yearly,"  500,000 ",Married,Non Medical,15,10,Hanumangarh,Rajasthan,335801,ULIP,Retail Agency,,11-10-2023,-,-,Withdrawal,Free Look Cancellation,Misrepresentation
72,40,Son,Business,"  330,000 ","  52,686 ",Yearly,"  360,000 ",Married,Non Medical,12,10,LUCKNOW,Uttar Pradesh,226003,Traditional,Bancassurance,1,15-07-2022,-,-,Cancellation,Other Reason,Misrepresentation
73,41,Mother,Service,"  1,270,500 ","  172,425 ",Yearly,"  600,000 ",Single,Non Medical,15,10,Namakkal,Tamil Nadu,637409,Traditional,Bancassurance,1,03-09-2020,-,-,Cancellation,Other Reason,Misrepresentation
74,40,Spouse,Service,"  420,000 ","  52,250 ",Yearly,"  780,000 ",Married,Non Medical,15,10,BALASORE,Odisha,756002,Traditional,Bancassurance,1,23-06-2022,-,-,Cancellation,Other Reason,Misrepresentation
75,38,Son,Service,"  840,000 ","  104,500 ",Yearly,"  480,000 ",Married,Non Medical,15,10,NEW DELHI,Delhi,110064,Traditional,Bancassurance,1,06-09-2022,-,-,Cancellation,Other Reason,Misrepresentation
76,27,Son,Housewife,"  420,000 ","  52,250 ",Yearly,"  600,000 ",Married,Non Medical,15,10,MADURAI,Tamil Nadu,625105,Traditional,Bancassurance,1,04-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
77,27,Daughter,Housewife,"  420,000 ","  52,250 ",Yearly,"  600,000 ",Married,Non Medical,15,10,MADURAI,Tamil Nadu,625105,Traditional,Bancassurance,1,04-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
78,48,Daughter,Service,"  1,158,000 ","  201,685 ",Yearly,"  1,000,000 ",Married,Non Medical,12,10,MADURAI,Tamil Nadu,625706,Traditional,Bancassurance,1,11-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
79,58,Daughter,Retired,"  315,000 ","  51,125 ",Yearly,"  300,000 ",widowed,Medical,15,10,Muzaffar Nagar,Uttar Pradesh,247776,Traditional,Retail Agency,,27-02-2023,08-03-2023,05-10-2023,Claim,Death Claim Paid,Misrepresentation
80,75,Son,Retired,0 ,"  10,000,000 ",Single,"  20,000,000 ",Married,Non Medical,45,10,NAGPUR,Maharashtra,440023,Pension,Bancassurance,1,04-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
81,34,Wife,Service,"  1,100,000 ","  104,500 ",Yearly,"  708,000 ",Married,Non Medical,23,10,Faridabad,Haryana,121004,Traditional,Bancassurance,1,22-03-2022,-,-,Cancellation,Other Reason,Misrepresentation
82,33,Spouse,Service,"  550,000 ","  51,125 ",Yearly,"  600,000 ",Married,Non Medical,26,10,MUMBAI,Maharashtra,400042,Traditional,Institutional Alliance,,28-04-2022,-,-,Lapse, ,Misrepresentation
83,57,Wife,Retired,"  1,100,000 ","  104,500 ",Yearly,"  1,600,000 ",Married,Medical,23,10,ROHTAK,Haryana,124022,Traditional,Bancassurance,1,27-07-2022,-,-,Cancellation,Other Reason,Misrepresentation
84,56,Wife,Service,"  1,650,000 ","  156,750 ",Yearly,"  720,000 ",Married,Medical,36,10,CHITTORGARH,Rajasthan,312001,Traditional,Retail Agency,,06-08-2022,-,-,Withdrawal,Free Look Cancellation,Misrepresentation
85,37,Husband,Service,"  1,650,000 ","  153,375 ",Yearly,"  720,000 ",Married,Non Medical,36,10,PANCHKULA,Haryana,134112,Traditional,Retail Agency,,02-08-2022,-,-,Inforce,-,Misrepresentation
86,45,Husband,Profession,"  1,100,000 ","  104,500 ",Yearly,"  420,000 ",Married,Non Medical,36,10,Mohali,Punjab,160104,Traditional,Retail Agency,,01-09-2022,-,-,Cancellation,Other Reason,Misrepresentation
87,47,Daughter,Service,"  2,200,000 ","  209,000 ",Yearly,"  720,000 ",Married,Medical,36,10,MOHALI,Punjab,140603,Traditional,Retail Agency,,10-09-2022,-,-,Withdrawal,Free Look Cancellation,Misrepresentation
88,18,Mother,Student,"  1,650,000 ","  156,750 ",Yearly,"  840,000 ",Single,Non Medical,36,10,BHILWARA,Rajasthan,311011,Traditional,Retail Agency,,24-08-2022,-,-,Withdrawal,Free Look Cancellation,Misrepresentation
89,21,Mother,Service,"  2,200,000 ","  204,500 ",Yearly,"  1,440,000 ",Single,Non Medical,36,10,BHILWARA,Rajasthan,311001,Traditional,Retail Agency,,25-08-2022,-,-,Lapse, ,Misrepresentation
90,45,Husband,Service,"  2,200,000 ","  204,500 ",Yearly,"  1,900,000 ",Married,Non Medical,36,10,CHITTORGARH,Rajasthan,312001,Traditional,Retail Agency,,13-09-2022,-,-,Inforce,-,Misrepresentation
91,56,Spouse,Service,"  2,200,000 ","  204,500 ",Yearly,"  1,100,000 ",Married,Medical,26,10,BHILWARA,Rajasthan,311001,Traditional,Retail Agency,,30-09-2022,-,-,Lapse, ,Misrepresentation
92,48,Husband,Service,"  1,100,000 ","  104,500 ",Yearly,"  540,000 ",Married,Non Medical,26,10,GWALIOR,Madhya Pradesh,474005,Traditional,Bancassurance,1,07-09-2022,-,-,Cancellation,Other Reason,Misrepresentation
93,10,Spouse,Profession,"  1,100,000 ","  104,500 ",Yearly,"  2,400,000 ",Married,Non Medical,26,10,Lucknow,Uttar Pradesh,226001,Traditional,Retail Agency,,26-10-2022,-,-,Cancellation,Other Reason,Misrepresentation
94,10,Spouse,Profession,"  1,100,000 ","  104,500 ",Yearly,"  2,400,000 ",Married,Non Medical,26,10,Lucknow,Uttar Pradesh,226001,Traditional,Retail Agency,,28-10-2022,-,-,Cancellation,Other Reason,Misrepresentation
95,27,Father,Service,"  2,750,000 ","  255,625 ",Yearly,"  1,200,000 ",Single,Non Medical,36,10,CHITTORGARH,Rajasthan,312001,Traditional,Retail Agency,,13-12-2022,-,-,Inforce,-,Misrepresentation
96,21,Mother,Service,"  3,300,000 ","  306,750 ",Yearly,"  1,440,000 ",Single,Non Medical,36,10,BHILWARA,Rajasthan,311001,Traditional,Retail Agency,,09-12-2022,-,-,Lapse, ,Misrepresentation
97,15,Spouse,Service,"  4,675,000 ","  444,125 ",Yearly,"  6,000,000 ",Married,Non Medical,36,10,Panchkula,Haryana,134112,Traditional,Retail Agency,,24-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
98,29,Mother,Service,"  2,750,000 ","  261,250 ",Yearly,"  936,000 ",Single,Non Medical,36,10,PANCHKULA,Haryana,134113,Traditional,Retail Agency,,15-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
99,26,Mother,Service,"  2,750,000 ","  261,250 ",Yearly,"  720,000 ",Single,Non Medical,36,10,PANCHKULA,Haryana,134113,Traditional,Retail Agency,,17-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
100,19,Mother,Student,"  3,300,000 ","  319,770 ",Half yearly,"  1,440,000 ",Single,Non Medical,31,10,CHITTORGARH,Rajasthan,312001,Traditional,Retail Agency,,29-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
101,28,Father,Self-Employed,"  5,500,000 ","  511,250 ",Yearly,"  2,000,000 ",Single,Non Medical,36,10,CHANDIGARH,Chandigarh,160019,Traditional,Retail Agency,,25-01-2023,-,-,Inforce,-,Misrepresentation
102,30,Mother,Service,"  6,600,000 ","  627,000 ",Yearly,"  1,920,000 ",Single,Medical,36,10,Chittorgarh,Rajasthan,312001,Traditional,Retail Agency,,25-01-2023,-,-,Withdrawal,Free Look Cancellation,Misrepresentation
103,42,Wife,Business,"  770,000 ","  74,613 ",Half yearly,"  500,000 ",Married,Non Medical,36,10,BADAUN,Uttar Pradesh,243633,Traditional,Institutional Alliance,,10-03-2023,20-05-2023,19-07-2023,Claim,Death Claim Paid,Misrepresentation
104,46,Wife,Service,"  1,650,000 ","  156,750 ",Yearly,"  750,000 ",Married,Non Medical,26,10,UDAIPUR,Rajasthan,313906,Traditional,Retail Agency,,24-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
105,45,Mother,Service,0 ,"  500,000 ",Yearly,"  1,300,000 ",Married,Non Medical,10,10,Ahmedabad,Gujarat,380058,Pension,Bancassurance,1,17-11-2023,-,-,Inforce,-,Misrepresentation
106,51,Wife,Service,"  300,000 ","  31,977 ",Half yearly,"  1,000,000 ",Married,Medical,49,10,Ajmer,Punjab,305901,Traditional,Retail Agency,,15-02-2023,13-02-2024,29-03-2024,Claim,Death Claim Repudiated,Misrepresentation
107,43,Mother,Service,"  1,500,000 ","  150,000 ",Yearly,"  960,000 ",Married,Non Medical,12,10,Madurai,Tamil Nadu,625002,ULIP,Bancassurance,1,26-04-2021,-,-,Cancellation,Other Reason,Misrepresentation
108,49,Wife,Service,"  2,100,000 ","  300,000 ",Yearly,"  800,000 ",Married,Non Medical,12,10,Burdwan,West Bengal,713102,ULIP,Bancassurance,1,23-11-2023,-,-,Cancellation,Other Reason,Misrepresentation
109,46,Spouse,Housewife,"  1,850,000 ","  332,403 ",Yearly,"  1,000,000 ",Married,Non Medical,15,10,GHUMARWIN,Himachal Pradesh,174028,Traditional,Bancassurance,1,24-04-2023,-,-,Cancellation,Other Reason,Document Tampering
110,25,Father,Student,"  4,200,000 ","  600,000 ",Yearly,"  840,000 ",Single,Non Medical,10,10,SHIMLA,Himachal Pradesh,171009,ULIP,Bancassurance,1,24-04-2023,-,-,Inforce,-,Document Tampering
111,8,Spouse,Retired,"  4,200,000 ","  600,000 ",Yearly,"  1,200,000 ",Married,Non Medical,10,10,MOGA,Punjab,142001,ULIP,Bancassurance,1,15-05-2023,-,-,Inforce,-,Document Tampering
112,54,Husband,Housewife,"  4,200,000 ","  600,000 ",Yearly,"  2,000,000 ",Married,Medical,10,10,SHIMLA,Himachal Pradesh,171006,ULIP,Bancassurance,1,25-05-2023,-,-,Inforce,-,Document Tampering
